Configuration:	Schlumberger
L/2	rho_a	err
1.0000e+00	1.0169e+03	1.9679e+01
1.1690e+00	1.0375e+03	2.0143e+01
1.3664e+00	9.7326e+02	1.9506e+01
1.5973e+00	9.6101e+02	1.8595e+01
1.8672e+00	9.8709e+02	1.8934e+01
2.1826e+00	9.2018e+02	1.8945e+01
2.5514e+00	8.7289e+02	1.8488e+01
2.9825e+00	8.7155e+02	1.7848e+01
3.4864e+00	8.3560e+02	1.6878e+01
4.0754e+00	7.7386e+02	1.5925e+01
4.7639e+00	7.2457e+02	1.5147e+01
5.5688e+00	6.6284e+02	1.4047e+01
6.5097e+00	6.5994e+02	1.2804e+01
7.6095e+00	6.0391e+02	1.1915e+01
8.8951e+00	5.6652e+02	1.1392e+01
1.0398e+01	5.5582e+02	1.1183e+01
1.2155e+01	5.4500e+02	1.0980e+01
1.4208e+01	5.1431e+02	1.0454e+01
1.6609e+01	5.2020e+02	1.0671e+01
1.9415e+01	5.0771e+02	1.0104e+01
2.2695e+01	5.2574e+02	1.0084e+01
2.6529e+01	5.0784e+02	1.0046e+01
3.1012e+01	4.9283e+02	9.9499e+00
3.6251e+01	5.0136e+02	1.0224e+01
4.2376e+01	5.0544e+02	9.9813e+00
4.9535e+01	5.2031e+02	1.0356e+01
5.7904e+01	4.9779e+02	9.9467e+00
6.7688e+01	5.0048e+02	1.0266e+01
7.9123e+01	5.0299e+02	9.3464e+00
9.2491e+01	4.9090e+02	9.7895e+00
1.0812e+02	4.7012e+02	9.6232e+00
1.2638e+02	4.6636e+02	9.7196e+00
1.4774e+02	4.4751e+02	9.1169e+00
1.7270e+02	4.4094e+02	9.0053e+00
2.0188e+02	4.2473e+02	8.5528e+00
2.3598e+02	3.8635e+02	7.6346e+00
2.7585e+02	3.6850e+02	7.0459e+00
3.2246e+02	3.3417e+02	6.8943e+00
3.7694e+02	3.2566e+02	6.3867e+00
4.4062e+02	3.2018e+02	6.4061e+00
5.1507e+02	3.4115e+02	6.5320e+00
6.0209e+02	3.5317e+02	7.0363e+00
7.0381e+02	3.8711e+02	7.7161e+00
8.2272e+02	4.1520e+02	8.4802e+00
9.6172e+02	4.5324e+02	9.2061e+00
1.1242e+03	5.0651e+02	9.8606e+00
1.3141e+03	5.3841e+02	1.0762e+01
1.5362e+03	5.7655e+02	1.1923e+01
1.7957e+03	6.3388e+02	1.2198e+01
2.0991e+03	7.0357e+02	1.3315e+01
2.4538e+03	7.1838e+02	1.4028e+01
2.8683e+03	7.6732e+02	1.5179e+01
3.3529e+03	7.9134e+02	1.6172e+01
3.9194e+03	8.0011e+02	1.7476e+01
4.5816e+03	8.6411e+02	1.7281e+01
5.3557e+03	9.2021e+02	1.7421e+01
6.2605e+03	9.0619e+02	1.8079e+01
7.3182e+03	9.0941e+02	1.8787e+01
8.5547e+03	9.2737e+02	1.9309e+01
1.0000e+04	9.6545e+02	1.8993e+01
